rank,team,conference,osp,srs,elo,sp_plus,fpi
1,Indiana,Big Ten,2.3528458328692263,27.3,2346.0,25.8,23.14
2,Ohio State,Big Ten,2.3226055078144636,26.6,2138.0,32.7,28.676
3,Notre Dame,FBS Independents,2.2517059127100443,24.1,2243.0,26.5,25.856
4,Oregon,Big Ten,2.068454683045379,22.1,2071.0,29.2,25.276
5,Georgia,SEC,1.90727306649661,16.0,2057.0,26.4,24.837
6,Texas Tech,Big 12,1.85334882917526,22.3,2056.0,21.8,20.016
7,Miami,ACC,1.8425871863618828,22.2,2014.0,22.0,21.834
8,Texas,SEC,1.6984770372736708,12.6,1926.0,22.8,26.914
9,Texas A&M,SEC,1.5551621541673772,16.6,1872.0,20.9,20.002
10,Ole Miss,SEC,1.5513595118594843,15.8,2009.0,16.5,16.029
11,USC,Big Ten,1.4358522669022618,15.5,1871.0,17.7,16.982
12,Alabama,SEC,1.4305200301243137,12.7,1857.0,17.6,20.126
13,Penn State,Big Ten,1.4258438342259006,14.4,1954.0,16.2,13.716
14,Utah,Big 12,1.3711983853737193,21.3,1976.0,9.8,8.451
15,Oklahoma,SEC,1.3574125962909185,12.7,1810.0,18.8,17.782
16,Iowa,Big Ten,1.319111549545027,13.8,1937.0,14.6,10.569
17,Washington,Big Ten,1.3075496520338121,17.4,1866.0,15.8,9.893
18,Tennessee,SEC,1.2469375017034654,11.7,1787.0,17.3,15.058
19,Michigan,Big Ten,1.244710814730364,11.0,1786.0,17.0,15.875
20,LSU,SEC,1.206996092417571,8.2,1675.0,20.4,20.034
21,Vanderbilt,SEC,1.1950860921101867,16.0,1880.0,9.8,8.986
22,BYU,Big 12,1.1908767831896696,15.0,1750.0,14.9,13.125
23,SMU,ACC,1.157618172050617,11.0,1852.0,12.1,11.117
24,Missouri,SEC,1.1098870019857536,10.5,1750.0,15.4,12.18
25,Clemson,ACC,1.0344692284222532,6.2,1755.0,13.1,13.421
26,Louisville,ACC,0.9778795265501763,9.3,1749.0,11.1,9.454
27,Auburn,SEC,0.9297509028149424,8.3,1670.0,11.5,12.007
28,South Carolina,SEC,0.8972072438669222,3.8,1697.0,12.6,11.692
29,Arizona,Big 12,0.8955583353460659,12.2,1688.0,9.5,7.155
30,Florida,SEC,0.8849439200898948,5.4,1593.0,15.2,13.575
31,TCU,Big 12,0.8022273192471789,8.5,1670.0,9.4,6.366
32,Illinois,Big Ten,0.7977128578844193,12.3,1595.0,10.4,6.315
33,Virginia,ACC,0.7959303922590993,9.8,1637.0,8.1,7.895
34,James Madison,Sun Belt,0.7712623449003115,9.9,1905.0,-0.9,-2.026
35,Kansas State,Big 12,0.7596477994833702,7.2,1674.0,9.2,5.057
36,Florida State,ACC,0.7282749606552676,8.4,1556.0,9.1,9.319
37,Pittsburgh,ACC,0.7241667843729142,10.0,1614.0,6.2,6.616
38,South Florida,American Athletic,0.6834962107144305,12.6,1774.0,-1.7,-0.949
39,Nebraska,Big Ten,0.6309005788646453,2.5,1558.0,9.3,8.842
40,Georgia Tech,ACC,0.6217487915980564,7.8,1595.0,5.9,4.186
41,NC State,ACC,0.6083228606731337,7.0,1605.0,5.7,3.719
42,Arizona State,Big 12,0.5999421156530146,5.8,1609.0,4.9,4.76
43,Duke,ACC,0.5930230847548685,5.2,1622.0,5.6,3.547
44,Houston,Big 12,0.5844621573052875,6.3,1512.0,7.4,7.12
45,Boise State,Pac-12,0.5505798719368052,4.3,1594.0,5.1,4.045
46,Arkansas,SEC,0.5351818847994455,4.0,1571.0,5.6,4.396
47,Iowa State,Big 12,0.5023509672721449,9.6,1629.0,-0.4,-0.943
48,Northwestern,Big Ten,0.4846561532835386,4.4,1574.0,5.1,1.414
49,Wake Forest,ACC,0.44569727524832164,4.2,1531.0,3.4,3.379
50,UNLV,Mountain West,0.4351820855502821,-0.9,1622.0,3.6,1.791
