rank,team,record,indice_final,games_played,wins_score,sos_nonconf,sos_conf,mov_capado,fcs_adjustment,contrib_wins,contrib_sos_nonconf,contrib_sos_conf,contrib_mov,contrib_fcs
1,Indiana,2-0,1.99975032761903,1,1.295028233219639,0.06906106343792337,0.0,1.0,0.05,1.0348001844490322,0.10586098540947543,0.4636066254124853,0.345482532348037,0.05
2,Texas,2-0,1.6053145785112934,2,1.533680127723734,0.17129593976977828,0.0,0.5208333333333334,0.0,0.8159497093255473,0.23459371307856958,0.3338644898490819,0.22090666625809474,0.0
3,Ohio State,1-1,1.5419506529944158,2,0.09531901439773721,-0.11783311300188565,0.0,1.0,0.0,0.8836978255080121,-0.1294735499448654,0.4502548877067022,0.3374714897245671,0.0
4,Notre Dame,2-0,1.5325074695878012,2,1.0770427505277853,-0.0816310412268456,-0.3265241649073824,1.0,0.0,0.9793441756102362,-0.08388840704563034,0.3019612283896967,0.3350904726334987,0.0
5,Miami,2-0,1.5035138288104617,1,1.2455622490767804,0.0,-0.18145916974406467,1.0,0.05,0.8546381661361238,0.018900259372756963,0.2903333345913642,0.2896420687102169,0.05
6,Georgia,2-0,1.4628270765469589,1,0.9720515021705612,-0.0847373799187804,0.0,1.0,0.05,0.8337636829497085,-0.08779986531921181,0.37471543863494766,0.29214782028151437,0.05
7,BYU,2-0,1.401428467659753,1,1.4743843940031307,0.0,0.8521146466771021,0.4583333333333333,0.05,0.5922748973786738,0.018900259372756963,0.5948399798720443,0.145413331036278,0.05
8,Alabama,2-0,1.3921906574715963,2,1.2953973082548058,0.01148684122633138,0.3889074997810533,1.0,0.0,0.6799074711809826,0.03336432933032672,0.44671232755123336,0.23220652940905367,0.0
9,Oregon,1-1,1.343321033006314,2,-0.12996222412644554,0.07788108634008048,0.0,0.2916666666666667,0.0,0.6696983012526049,0.11696703499878551,0.349010709065633,0.20764498768929052,0.0
10,Utah,2-0,1.3239237533706596,1,1.2397983029228066,0.04276109662990796,0.0,1.0,0.05,0.6849220804462994,0.07274443471485166,0.2805866756931016,0.23567056251640672,0.05
11,Texas Tech,2-0,1.281573552432139,1,1.088664792263388,-0.06194533701743422,0.0,0.4583333333333333,0.05,0.7545099656604654,-0.05910044338889847,0.3260445946720112,0.21011943548856102,0.05
12,Texas A&M,2-0,1.2589412065713734,2,1.1196898284804426,-0.02525847626629779,0.0,1.0,0.0,0.7172985742892541,-0.012904860985298802,0.30451808510429507,0.2500294081631228,0.0
13,SMU,2-0,1.2243117595238453,1,1.3688483645303842,0.0,0.6669945484346143,0.125,0.05,0.5532607256538983,0.018900259372756963,0.4981595401795721,0.10399123431761795,0.05
14,Tennessee,2-0,1.1920991084865153,1,1.4089703163446616,0.06081919825936272,0.0,0.875,0.05,0.6161771401105698,0.09548294394666743,0.23456940915957186,0.19586961526970625,0.05
15,Michigan,2-0,1.1124576834826108,2,1.3967818025721788,0.20565150214348235,0.0,0.16666666666666669,0.0,0.5383723119874634,0.2778537571423641,0.19386477464340945,0.10236683970937377,0.0
16,Ole Miss,2-0,1.0968633464552426,2,1.1937974381525127,-0.03381463487290601,0.0,0.5625,0.0,0.6621881222263334,-0.02367865634083613,0.2710639869451493,0.1872898936245961,0.0
17,LSU,2-0,1.0916026862653683,2,1.2167166826226565,0.05559723551888045,0.0,1.0,0.0,0.5765804439854734,0.08890752143442633,0.2242476023405767,0.20186711850489178,0.0
18,Penn State,2-0,1.0669623343702186,2,1.09473972089329,-0.0929252325889248,0.0,0.875,0.0,0.6649970852075419,-0.09810989498618114,0.27809198398430923,0.22198316016454867,0.0
19,USC,3-0,1.0366693849953537,3,1.0617782067063273,-0.06793162217815486,0.0,0.8194444444444443,0.0,0.6329653686079746,-0.06663829001222805,0.2628952346484116,0.20744707175119556,0.0
20,Virginia,2-0,0.9702548607596398,1,1.26473901216206,0.0,0.38246337387353424,1.0,0.05,0.4328259015744369,0.018900259372756963,0.3141503535004223,0.15437834631202366,0.05
21,Missouri,2-0,0.9678483472308844,1,1.3715395159114232,0.05489976948163019,0.0,0.7083333333333334,0.05,0.5060303697533468,0.08802928194655987,0.17807177637028632,0.14571691916069138,0.05
22,Iowa,2-0,0.9482737586131273,2,1.0167644226143504,-0.05634214782137478,0.0,0.5625,0.0,0.5886913582153325,-0.0520449858509704,0.24185992799453676,0.16976745825422856,0.0
23,Vanderbilt,2-0,0.8730815644785709,1,0.977642518578463,-0.03743213401025574,0.0,0.375,0.05,0.5161847197505283,-0.028233760704438945,0.20547811560303067,0.1296524898294509,0.05
24,Washington,2-0,0.8577564574777182,2,1.0424912387884668,-0.0062573010096108606,0.0,0.33333333333333337,0.0,0.519037109152162,0.011021153379621482,0.2033725647419769,0.12432563020395777,0.0
25,Kansas State,2-0,0.8201436098565819,1,1.207481874742618,0.027372321306008616,0.0,1.0,0.05,0.42167270955197506,0.05336710386640471,0.14236577458603517,0.1527380218521669,0.05
26,Oklahoma,1-1,0.8028686084984841,2,-0.23464482517718127,-0.12218731091462902,0.0,1.0,0.0,0.4714522725687867,-0.13495629511197507,0.24940879621320416,0.2169638348284683,0.0
27,Florida,2-0,0.6842685833656603,1,0.9479253005048965,-0.0962260473786207,0.0,1.0,0.05,0.41981327723374745,-0.1022662348444966,0.15587686492241476,0.16084467605399463,0.05
28,Auburn,2-0,0.6524275119654728,2,1.0920691801947693,-0.009213183171025749,0.0,0.5208333333333334,0.0,0.4026384544621009,0.007299147866823771,0.13868871080493905,0.10380119883160904,0.0
29,James Madison,2-0,0.6519567947482567,1,1.0668163864676923,0.010983993556043943,0.0,0.2916666666666667,0.05,0.3724879496157985,0.03273115057058501,0.12406195769497647,0.07267573686689663,0.05
30,Duke,2-0,0.6335135790457247,2,1.2694952581192012,0.11520438176600116,0.0,0.375,0.0,0.32403643047725994,0.16396400705147346,0.08696720065584927,0.05854594086114208,0.0
31,Pittsburgh,2-0,0.6192296900738761,2,1.0640632406125274,-0.022134799489560583,0.0,0.6041666666666666,0.0,0.3877510974333947,-0.008971570837612767,0.1323344580698292,0.10811570540826489,0.0
32,Louisville,1-1,0.6149765509925779,1,-0.6823970983827445,0.043762250192530404,0.0,0.0,0.05,0.26111340088437673,0.0740050732910032,0.16254013645582086,0.06731794036137707,0.05
33,Arizona,1-1,0.5596333995564466,1,-0.802964457089035,0.0,0.1641962857591375,0.0,0.05,0.21595519693995743,0.018900259372756963,0.21783089218571489,0.05694705105801733,0.05
34,South Carolina,2-0,0.5543249668656912,1,0.729126235544178,-0.20041607831229621,0.0,1.0,0.05,0.4099237474622528,-0.2334608658672971,0.16283970510636855,0.1650223801643669,0.05
35,South Florida,2-0,0.5201760550808866,2,1.0936186447967475,-0.05864176156691605,0.24294996294673016,0.2916666666666667,0.0,0.3189520585715033,-0.054940627345052485,0.20147319592497437,0.054691427929461384,0.0
36,Boise State,1-1,0.4838224442188949,2,0.2653416209604237,0.07463364246701976,0.0,0.75,0.0,0.20252133713210407,0.11287789905290346,0.07842864099156682,0.08999456704232058,0.0
37,Clemson,1-1,0.4202668882490997,2,0.0002481814500757684,-0.03885568212493687,0.0,0.625,0.0,0.23917272314558327,-0.030026272598092967,0.1127335266130072,0.09838691108860216,0.0
38,North Dakota State,3-0,0.4039706435609383,2,1.1197918742444606,-0.03650299325720658,-0.07086655223648382,0.625,0.05,0.2727394181417238,-0.02706379965181071,0.03672138111403017,0.07157364395699506,0.05
39,Houston,2-0,0.3987247570294959,1,0.9511647922633881,-0.06194533701743422,0.0,0.5416666666666666,0.05,0.2665385852124399,-0.05910044338889847,0.07416679893929902,0.06711981626665546,0.05
40,Cincinnati,2-0,0.3887435321367752,1,1.061720573189741,-0.02715686990964714,0.0,0.7916666666666666,0.05,0.22964865351688463,-0.015295291733263466,0.048368286748070456,0.07602188360508362,0.05
41,Nebraska,2-0,0.387526121367877,2,0.9493113999171934,-0.16724050006900554,0.0,1.0,0.0,0.3348901332110423,-0.19168664133167698,0.11062754524247871,0.13369508424603302,0.0
42,Florida State,1-1,0.35795768966575847,2,0.00623008722095908,-0.11162289851770056,0.2421818844409077,0.7083333333333334,0.0,0.19308047183717936,-0.12165373464656919,0.19492778394417565,0.09160316853097268,0.0
43,Virginia Tech,2-0,0.34882660477457195,1,1.0952661977300642,-0.023087524890445656,0.0,0.9583333333333334,0.05,0.19815505584733564,-0.010171229349229236,0.029742343927987885,0.08110043434847765,0.05
44,Illinois,1-1,0.3415704600442985,2,-0.27459089033516365,-0.05968757481968355,0.0,0.7916666666666666,0.0,0.18877707069674313,-0.05625750077896987,0.1012812366064274,0.1077696535200978,0.0
45,Maryland,2-0,0.3052318512498427,1,1.236595346079887,-0.030192692342910856,0.0,1.0,0.05,0.18406641620740857,-0.01911795691930521,0.014353021788245972,0.07593037017349337,0.05
46,UTSA,2-0,0.3028933820215718,1,1.1423602554474677,-0.018518925977396267,0.0,0.20833333333333334,0.05,0.21202116167361237,-0.004418513438527297,0.034487018596436096,0.010803715190050642,0.05
47,Iowa State,1-1,0.29869932406891075,1,-0.6487897841865687,0.04181073997778943,0.0,0.0,0.05,0.09320133497540357,0.07154775889858164,0.07134773231690061,0.012602497878024931,0.05
48,North Texas,1-1,0.2852898791937878,2,0.09577464700865712,0.01731220584054766,0.0,1.0,0.0,0.11290152907105744,0.04069954705016681,0.04023140373251108,0.09145739934005243,0.0
49,Northwestern,1-0,0.28043039861782637,0,0.0,0.0,0.0,0.0,0.05,0.14310241719933522,0.018900259372756963,0.061646164723656,0.006781557322078163,0.05
50,Mississippi State,2-0,0.2771929857321669,2,1.0443351935139922,-0.15055400540500638,0.0,1.0,0.0,0.26852239651967624,-0.1706752404242248,0.07001704533510604,0.1093287843016094,0.0
51,Arizona State,1-1,0.2633127576384683,1,-1.0,0.0,0.0,0.0,0.05,0.08556697446995878,0.018900259372756963,0.08690729081741749,0.021938232978335057,0.05
52,TCU,1-1,0.26256089869957394,1,-1.5094570468146757,0.004826542045871948,0.0,0.0,0.05,0.057276890493522976,0.024977773671867706,0.10032023502893668,0.02998599950524657,0.05
53,UCLA,2-0,0.2620578302927581,2,1.2209821530045295,0.020089294170441193,0.0,0.8125,0.0,0.16267434647372592,0.04419641786873903,0.0038464936497633303,0.0513405723005298,0.0
54,North Carolina,2-0,0.23255763668342333,1,1.2784364834322106,0.09389832544390976,0.0,0.20833333333333334,0.05,0.1041227099008048,0.13713571865690374,-0.030507684941546376,-0.02819310693273884,0.05
55,Colorado,2-0,0.18498447823531644,1,1.2839703163446616,0.06081919825936272,0.0,0.041666666666666664,0.05,0.10997251874958869,0.09548294394666743,-0.02770523253605321,-0.04276575192488647,0.05
56,New Mexico,2-0,0.16227772829975068,1,0.8992532973627861,-0.1194031917320066,0.0,1.0,0.05,0.15123419545604955,-0.13145057114189423,0.015734716803155996,0.07675938718243937,0.05
57,Baylor,1-1,0.1255117599694852,1,-1.2810491798301125,0.03201795478212949,0.0,0.0,0.05,-0.024228751510619255,0.05921682062246199,0.044206145231098684,-0.003682454373456226,0.05
58,Memphis,2-1,0.10849912417665494,3,0.246569871452057,-0.035963491332004355,0.0,0.5,0.0,0.08725914403690396,-0.0263844663664789,0.018167649195009187,0.029456797311220688,0.0
59,Kansas,1-1,0.09598254564956724,1,-1.0586264212192915,0.01087780699770338,0.0,0.0,0.05,-0.015060385627314044,0.0325974419401505,0.036657269280528884,-0.008211779943798106,0.05
60,NC State,1-1,0.08256771804133235,1,-1.5,0.0,0.0,0.0,0.05,-0.03622088825163145,0.018900259372756963,0.05005905527020142,-0.00017070834999458328,0.05
61,Kentucky,1-1,0.0813761064619006,1,-1.15,0.0,0.0,0.0,0.05,-0.019963838909496035,0.018900259372756963,0.03915364219422194,-0.006713956195582273,0.05
62,Georgia Tech,0-2,0.08033753472670842,2,-1.3510383462833755,0.010200344524296747,0.0,0.0,0.0,-0.010159931663170826,0.03174439066035045,0.05559951077602764,0.0031535649535011493,0.0
63,Wake Forest,2-0,0.07060169127622751,2,0.9411037000854692,-0.1740802499287756,0.0,0.5,0.0,0.19427736918393676,-0.20029915877791907,0.03629204567249665,0.04033143519771316,0.0
64,Arkansas,1-1,0.0621131892601812,1,-1.0,0.0,0.0,0.0,0.05,-0.023127045228656083,0.018900259372756963,0.029091322892622347,-0.012751347776542028,0.05
65,Michigan State,2-0,0.057999335720199954,2,1.0214254822244995,-0.07068709814625043,0.0,0.7083333333333334,0.0,0.11003839404721924,-0.07010794684683075,-0.013003103011692586,0.031071991531504046,0.0
66,UCF,1-1,0.019670154060829306,1,-1.2705471044700758,0.027315820896419537,0.0,0.0,0.05,-0.07770179987417042,0.0532959593401746,0.015176335066837847,-0.021100340472012726,0.05
67,Army,1-1,-0.003244323143681102,1,-1.4939063865916606,0.0,0.13007801117361611,0.0,0.05,-0.11334545384924644,0.018900259372756963,0.06619005488445207,-0.024989183551643698,0.05
68,Minnesota,1-1,-0.014595256994966471,1,-1.65,0.0,0.0,0.0,0.05,-0.09595442831392952,0.018900259372756963,0.026665658411450945,-0.01420674646524487,0.05
69,San Diego State,1-1,-0.016079951827124114,1,-1.4666285041177611,0.003972797128837966,0.0,0.0,0.05,-0.0906043603675559,0.023902750002384725,0.01926737503135155,-0.018645716493304505,0.05
70,UNLV,1-2,-0.018947888130756846,3,-0.6259289587771473,0.0077682220250662026,-0.1537060259069239,0.625,0.0,-0.023354379034182013,0.02868189599527141,-0.059865934299369844,0.035590529207523605,0.0
71,Wisconsin,1-1,-0.020774882529360453,1,-1.05,0.0,0.0,0.0,0.05,-0.07032005779968774,0.018900259372756963,0.006781910881053591,-0.02613699498348328,0.05
72,Toledo,1-1,-0.030759689517708966,1,-1.441713310413778,0.006938891617407379,0.0,0.0,0.05,-0.09934937450501678,0.02763761473483057,0.013223882352870416,-0.022271812100393185,0.05
73,Western Michigan,1-1,-0.03658260224010049,1,-1.1861899918166912,0.03735833430753676,0.0,0.0,0.05,-0.11084920421538697,0.06594135189555017,-0.007167880255092661,-0.03450686966517103,0.05
74,Old Dominion,1-1,-0.0572851680978306,1,-1.4941022169433027,0.0007021170305591989,0.0,0.0,0.05,-0.11196641987177111,0.01978435532640608,0.00943939872478117,-0.024542502277246737,0.05
75,Tulane,1-1,-0.06185631675305428,2,-0.2589233541138168,-0.0439607948650375,0.0,0.16666666666666666,0.0,-0.006179119751857945,-0.036454559222690024,-0.003294132938646506,-0.015928504839859806,0.0
76,Navy,1-1,-0.102977064514735,1,-1.5,0.0,-0.11226372194172415,0.0,0.05,-0.10965091235823678,0.018900259372756963,-0.038620589102684455,-0.023605822426570753,0.05
77,Oklahoma State,1-1,-0.12735915903005202,2,0.25,0.1829825719598209,0.0,0.3333333333333333,0.0,-0.18014999827444567,0.24930935702580898,-0.12426288071261685,-0.07225563706879848,0.0
78,Washington State,0-2,-0.13540108841073362,2,-1.1797947651019929,0.014626090603751474,0.0,0.0,0.0,-0.12144998978753206,0.037317228279184496,-0.013163865868919145,-0.03810446103346692,0.0
79,Fresno State,1-1,-0.15604721209139197,2,-0.06499653760259172,-0.11666378133549311,0.0,1.0,0.0,-0.042148118161086115,-0.1280011438505309,-0.03326031698770047,0.0473623669079255,0.0
80,East Carolina,0-2,-0.15823440410275524,2,-1.325,-0.010094134543048684,0.0,0.0,0.0,-0.12398096576421312,0.006189866209395803,-0.006398226897389058,-0.03404507765054887,0.0
